Ch1 Amplitude,Ch2 Amplitude,Cluster
3261.207,2660.38184,1
3261.27026,2693.96118,1
3261.34521,5935.975,4
3261.36377,2644.30518,1
3261.52979,2540.31885,1
3261.70776,2731.21973,1
3261.81836,2629.386,1
3261.863,2560.015,1
3261.95166,2659.407,1
3262.02246,2526.054,1
3262.05664,2831.47534,1
3262.14063,2544.74463,1
3262.18262,2581.57861,1
3262.30835,2710.34717,1
3262.319,2710.01,1
3262.382,2517.10522,1
3262.40063,2639.99658,1
3262.42456,2591.78076,1
3262.51758,2493.025,1
3262.53687,2689.824,1
3262.68286,2640.31348,1
3263.064,2641.372,1
3263.0752,2662.78271,1
3263.09229,2605.163,1
3263.1,2738.25537,1
3263.26147,2710.44824,1
3263.31885,5827.287,4
3263.34253,2670.15283,1
3263.58423,2639.54663,1
3263.61255,2552.83252,1
3263.67676,2555.86646,1
3263.71777,2685.15942,1
3263.72656,2499.56958,1
3263.74023,2577.12085,1
3263.778,5994.82129,4
3263.87622,2487.53564,1
3264.06885,2629.749,1
3264.13867,2355.10327,1
3264.20923,2414.59131,1
3264.25928,2477.97974,1
3264.279,2644.99536,1
3264.38843,2586.711,1
3264.407,2582.645,1
3264.41553,2698.15234,1
3264.47876,2666.528,1
3264.514,2768.24561,1
3264.56226,2607.5022,1
3264.607,2529.907,1
3264.63452,2640.95972,1
3264.71143,2593.17871,1
3264.7373,2492.00171,1
3264.785,2712.304,1
3264.88062,2567.96143,1
3265.01538,2619.21631,1
3265.11572,2621.07056,1
3265.136,2720.99121,1
3265.191,2725.0625,1
3265.21143,2526.91821,1
3265.22534,2600.70923,1
3265.32935,2588.65552,1
3265.483,2698.44,1
3265.49561,2725.576,1
3265.53345,2585.19165,1
3265.549,2741.564,1
3265.58643,2472.64966,1
3265.69824,2679.84155,1
3265.73,2562.08984,1
3265.83423,2567.3584,1
3265.84375,2665.706,1
3265.88135,2479.81128,1
3265.938,2610.94458,1
3266.01978,2626.51758,1
3266.119,2653.70435,1
3266.291,2535.93848,1
3266.459,2494.571,1
3266.466,2796.88086,1
3266.54346,2562.95923,1
3266.558,2740.80884,1
3266.56665,2587.89844,1
3266.60864,2699.20386,1
